source,target,weight,edge_count
ARGENTINA,AUSTRALIA,0.33535590941214455,1
ARGENTINA,CROATIA,0.051709176191205256,1
ARGENTINA,FRANCE,0.4387993241583216,1
ARGENTINA,MEXICO,0.1201302705195371,1
ARGENTINA,NETHERLANDS,0.247996079055763,1
ARGENTINA,POLAND,1.5465025150008116,1
ARGENTINA,SAUDI ARABIA,0.8824011715440463,1
BELGIUM,CROATIA,0.07815558082540588,1
BELGIUM,MOROCCO,0.0026178962772297255,1
BRAZIL,CAMEROON,0.6519107350498927,1
BRAZIL,CROATIA,0.3953010581739143,1
BRAZIL,KOREA REPUBLIC,0.3410753779287006,1
BRAZIL,SERBIA,0.8869715756783603,1
BRAZIL,SWITZERLAND,0.5274768470563673,1
CANADA,BELGIUM,0.24390744102522213,1
CANADA,MOROCCO,0.06614279193964122,1
CROATIA,CANADA,0.5186692404871631,1
CROATIA,JAPAN,0.17959449908024738,1
CROATIA,MOROCCO,0.4936029409697463,2
DENMARK,AUSTRALIA,0.620993101359479,1
DENMARK,TUNISIA,0.4488502378254305,1
ECUADOR,NETHERLANDS,0.18030251153601828,1
ECUADOR,QATAR,0.39570481238025634,1
ENGLAND,FRANCE,0.2339324315635427,1
ENGLAND,IRAN,0.9817993022602927,1
ENGLAND,SENEGAL,0.21068602550413154,1
ENGLAND,UNITED STATES,0.060190555085850236,1
ENGLAND,WALES,0.9202076782158871,1
FRANCE,AUSTRALIA,1.2763294340785096,1
FRANCE,DENMARK,0.4365900047206471,1
FRANCE,MOROCCO,0.0757973079905712,1
FRANCE,POLAND,0.41979254038798575,1
FRANCE,TUNISIA,0.22113345650394306,1
GERMANY,COSTA RICA,1.4556713265541095,1
GERMANY,JAPAN,0.688799194349279,1
IRAN,WALES,0.1971394691700143,1
JAPAN,COSTA RICA,0.4538177355182489,1
KOREA REPUBLIC,GHANA,0.79399542501709,1
MEXICO,POLAND,0.5069431713238916,1
MEXICO,SAUDI ARABIA,0.8831977884278638,1
NETHERLANDS,QATAR,0.6053405617816391,1
PORTUGAL,GHANA,0.514471557996433,1
PORTUGAL,KOREA REPUBLIC,0.11369957960706183,1
PORTUGAL,MOROCCO,0.4070956685769313,1
PORTUGAL,SWITZERLAND,0.43996229939279197,1
PORTUGAL,URUGUAY,0.11908557510223447,1
SAUDI ARABIA,POLAND,0.3992558288949275,1
SENEGAL,ECUADOR,0.3128955676468236,1
SENEGAL,NETHERLANDS,0.03438590096799879,1
SENEGAL,QATAR,0.21005005177881783,1
SERBIA,CAMEROON,0.1341932835124876,1
SPAIN,COSTA RICA,1.3354508970313912,1
SPAIN,GERMANY,0.08682076355345399,1
SPAIN,JAPAN,0.4977725988697392,1
SPAIN,MOROCCO,0.6477997222532839,1
SWITZERLAND,CAMEROON,0.19513145301816381,1
SWITZERLAND,SERBIA,0.08721296203976589,1
TUNISIA,AUSTRALIA,0.341269290046716,1
UNITED STATES,IRAN,0.5246506082908949,1
UNITED STATES,NETHERLANDS,0.3274829471095641,1
UNITED STATES,WALES,0.26664436069987546,1
URUGUAY,GHANA,0.1636578497421976,1
URUGUAY,KOREA REPUBLIC,0.29251895853078447,1
